optimizer,obj,trial,n_clusters,time_run,BHI,DBI,DI,SI,RSI,FMS,HS,CS,VMS,KS
M-EO,MSEI,6,2,972072.5578,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,7,2,972077.54375,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,8,2,972082.53249,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,9,2,972087.51194,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,MSEI,10,2,972092.48731,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,1,2,972097.47072,62.66366,1.18229,0.29157,0.35492,-0.26659,0.49938,3e-05,3e-05,3e-05,0.49938
M-EO,CHI,2,2,972101.95214,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,3,2,972106.42935,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,4,2,972110.91767,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,5,2,972115.42289,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,6,2,972119.93205,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,7,2,972124.49382,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,8,2,972129.00282,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,9,2,972133.51585,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,CHI,10,2,972138.0076,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
M-EO,RTS,1,2,972142.54718,77.39139,1.1782,0.12258,0.25855,-0.31169,0.64243,0.15715,0.2447,0.19139,0.65371
M-EO,RTS,2,2,972572.34945,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,RTS,3,2,973001.70615,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,RTS,4,2,973431.24592,77.85456,1.1786,0.12161,0.25672,-0.31262,0.64522,0.16854,0.26706,0.20666,0.65709
M-EO,RTS,5,2,973858.93974,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,RTS,6,2,974289.47346,78.09998,1.17538,0.31935,0.2524,-0.30583,0.64523,0.16769,0.26638,0.20582,0.65717
M-EO,RTS,7,2,974719.07047,77.90212,1.17601,0.1219,0.25623,-0.30912,0.64523,0.16769,0.26638,0.20582,0.65717
M-EO,RTS,8,2,975154.80916,77.94629,1.18697,0.32074,0.25431,-0.31931,0.64521,0.17026,0.26842,0.20836,0.65692
M-EO,RTS,9,2,975583.49648,78.06533,1.16719,0.11482,0.25368,-0.30022,0.64595,0.17035,0.27272,0.20971,0.65814
M-EO,RTS,10,2,976012.15399,78.02022,1.18353,0.33535,0.25416,-0.31596,0.64591,0.17379,0.27538,0.2131,0.65779
M-EO,ARS,1,2,976440.71831,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,ARS,2,2,976445.6823,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,ARS,3,2,976450.64961,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,ARS,4,2,976455.59918,77.85456,1.1786,0.34923,0.25672,-0.31262,0.64522,0.16854,0.26706,0.20666,0.65709
M-EO,ARS,5,2,976460.56025,77.01275,1.1902,0.3242,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,ARS,6,2,976465.53067,77.01275,1.1902,0.12169,0.25716,-0.31849,0.64036,0.15438,0.23473,0.18626,0.65088
M-EO,ARS,7,2,976470.51092,77.49068,1.17656,0.12154,0.25837,-0.31131,0.64312,0.15945,0.24951,0.19456,0.65457
M-EO,ARS,8,2,976475.49688,78.25094,1.1743,0.44379,0.25256,-0.30825,0.64663,0.17692,0.28323,0.21779,0.65883
M-EO,ARS,9,2,976480.48753,77.50246,1.15644,0.34116,0.25951,-0.29483,0.64523,0.16769,0.26638,0.20582,0.65717
M-EO,ARS,10,2,976485.44313,77.50246,1.15644,0.13177,0.25951,-0.29483,0.64523,0.16769,0.26638,0.20582,0.65717
GSKA,MSEI,1,2,976490.43913,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,2,2,976494.75796,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,3,2,976499.05199,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,4,2,976503.35221,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,5,2,976507.63418,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,6,2,976511.95587,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,7,2,976516.25807,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,8,2,976520.58126,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,9,2,976524.85766,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,MSEI,10,2,976529.15969,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,1,2,976533.455,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,2,2,976537.66013,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,3,2,976541.8944,62.61737,1.18145,0.29535,0.35555,-0.26566,0.49935,1e-05,1e-05,1e-05,0.49935
GSKA,CHI,4,2,976546.10756,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,5,2,976550.34893,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,6,2,976554.58595,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,7,2,976558.81436,62.61698,1.18137,0.29453,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,8,2,976563.04362,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,9,2,976567.2683,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,CHI,10,2,976571.48897,62.61698,1.18137,0.2927,0.35559,-0.26562,0.49939,5e-05,5e-05,5e-05,0.49939
GSKA,RTS,1,2,976575.74961,77.63169,1.19113,0.12647,0.25394,-0.31725,0.64173,0.155,0.24017,0.18841,0.65285
GSKA,RTS,2,2,976836.13417,77.14254,1.18421,0.12318,0.25622,-0.31235,0.64035,0.15188,0.23255,0.18375,0.65108
